split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
0,0,0,11,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.01312803841567162,,reused validated 10% ablation
0,0,0,11,0.1,12,MRDS,uniform observed subset before weights and swaps,0.007523799151945744,0.002812515380807488,reused validated 10% ablation
0,0,0,11,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.011664131781808439,,reused validated 10% ablation
1,0,1,11,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.02300914972915268,,reused validated 10% ablation
1,0,1,11,0.1,12,MRDS,uniform observed subset before weights and swaps,0.017972649178609006,0.002416841367981416,reused validated 10% ablation
1,0,1,11,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.022474501601407335,,reused validated 10% ablation
2,0,2,11,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.013074502146451871,,reused validated 10% ablation
2,0,2,11,0.1,12,MRDS,uniform observed subset before weights and swaps,0.007357629018971965,0.002731807139628855,reused validated 10% ablation
2,0,2,11,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.008787948616655708,,reused validated 10% ablation
3,0,3,11,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.008845741878341452,,reused validated 10% ablation
3,0,3,11,0.1,12,MRDS,uniform observed subset before weights and swaps,0.013612575087465386,7.65014885030913e-06,reused validated 10% ablation
3,0,3,11,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.007100501629456738,,reused validated 10% ablation
4,1,0,23,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.013424219287003382,,reused validated 10% ablation
4,1,0,23,0.1,12,MRDS,uniform observed subset before weights and swaps,0.010051395191057853,0.0016504175603728336,reused validated 10% ablation
4,1,0,23,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.012302481310034639,,reused validated 10% ablation
5,1,1,23,0.1,12,Facility Location,uniform observed subset before weights and swaps,0.017847336432373406,,reused validated 10% ablation
5,1,1,23,0.1,12,MRDS,uniform observed subset before weights and swaps,0.009118046105685406,0.001578849040802311,reused validated 10% ablation
5,1,1,23,0.1,12,W2-k-medoids,uniform observed subset before weights and swaps,0.011148975811109435,,reused validated 10% ablation
