"split","repeat","fold","seed","random_seed","budget","m","method","stage","uniform_J_alpha","source"
"0","0","0","11","101","0.1","12","Random","uniform final observed subset","13.686575842072905","final Random-only run from validated final fold geometry"
"1","0","1","11","101","0.1","12","Random","uniform final observed subset","0.037070184614766105","final Random-only run from validated final fold geometry"
"2","0","2","11","101","0.1","12","Random","uniform final observed subset","14.515294300858493","final Random-only run from validated final fold geometry"
"3","0","3","11","101","0.1","12","Random","uniform final observed subset","14.412803795842658","final Random-only run from validated final fold geometry"
"4","1","0","23","211","0.1","12","Random","uniform final observed subset","14.93026563342982","final Random-only run from validated final fold geometry"
"5","1","1","23","211","0.1","12","Random","uniform final observed subset","13.944908921061137","final Random-only run from validated final fold geometry"
"6","1","2","23","211","0.1","12","Random","uniform final observed subset","15.103320256410708","final Random-only run from validated final fold geometry"
"7","1","3","23","211","0.1","12","Random","uniform final observed subset","14.527512445033107","final Random-only run from validated final fold geometry"
"8","2","0","37","307","0.1","12","Random","uniform final observed subset","13.918135620678255","final Random-only run from validated final fold geometry"
"9","2","1","37","307","0.1","12","Random","uniform final observed subset","14.620570828309143","final Random-only run from validated final fold geometry"
"10","2","2","37","307","0.1","12","Random","uniform final observed subset","13.895702198654426","final Random-only run from validated final fold geometry"
"11","2","3","37","307","0.1","12","Random","uniform final observed subset","15.113752610789684","final Random-only run from validated final fold geometry"
"12","3","0","53","401","0.1","12","Random","uniform final observed subset","14.629935514559408","final Random-only run from validated final fold geometry"
"13","3","1","53","401","0.1","12","Random","uniform final observed subset","13.831146426432637","final Random-only run from validated final fold geometry"
"14","3","2","53","401","0.1","12","Random","uniform final observed subset","14.982758773761857","final Random-only run from validated final fold geometry"
"15","3","3","53","401","0.1","12","Random","uniform final observed subset","14.396166843265513","final Random-only run from validated final fold geometry"
"16","4","0","71","503","0.1","12","Random","uniform final observed subset","15.134403866089972","final Random-only run from validated final fold geometry"
"17","4","1","71","503","0.1","12","Random","uniform final observed subset","13.852849951895998","final Random-only run from validated final fold geometry"
"18","4","2","71","503","0.1","12","Random","uniform final observed subset","15.07445468824156","final Random-only run from validated final fold geometry"
"19","4","3","71","503","0.1","12","Random","uniform final observed subset","14.511934424976735","final Random-only run from validated final fold geometry"
