"split","repeat","fold","seed","budget","m","method","stage","uniform_J_alpha","J_synthetic_final","source"
"0","0","0","11","0.1","12","Facility Location","uniform observed subset","0.01312803841567162","","final primary 10% evaluation"
"0","0","0","11","0.1","12","MRDS","uniform observed subset","0.007523799151945744","0.002812515380807488","final primary 10% evaluation"
"0","0","0","11","0.1","12","W2-k-medoids","uniform observed subset","0.011664131781808439","","final primary 10% evaluation"
"1","0","1","11","0.1","12","Facility Location","uniform observed subset","0.02300914972915268","","final primary 10% evaluation"
"1","0","1","11","0.1","12","MRDS","uniform observed subset","0.017972649178609006","0.002416841367981416","final primary 10% evaluation"
"1","0","1","11","0.1","12","W2-k-medoids","uniform observed subset","0.022474501601407335","","final primary 10% evaluation"
"2","0","2","11","0.1","12","Facility Location","uniform observed subset","0.013074502146451871","","final primary 10% evaluation"
"2","0","2","11","0.1","12","MRDS","uniform observed subset","0.007357629018971965","0.002731807139628855","final primary 10% evaluation"
"2","0","2","11","0.1","12","W2-k-medoids","uniform observed subset","0.008787948616655708","","final primary 10% evaluation"
"3","0","3","11","0.1","12","Facility Location","uniform observed subset","0.008845741878341452","","final primary 10% evaluation"
"3","0","3","11","0.1","12","MRDS","uniform observed subset","0.013612575087465386","7.65014885030913e-06","final primary 10% evaluation"
"3","0","3","11","0.1","12","W2-k-medoids","uniform observed subset","0.007100501629456738","","final primary 10% evaluation"
"4","1","0","23","0.1","12","Facility Location","uniform observed subset","0.013424219287003382","","final primary 10% evaluation"
"4","1","0","23","0.1","12","MRDS","uniform observed subset","0.010051395191057853","0.0016504175603728336","final primary 10% evaluation"
"4","1","0","23","0.1","12","W2-k-medoids","uniform observed subset","0.012302481310034639","","final primary 10% evaluation"
"5","1","1","23","0.1","12","Facility Location","uniform observed subset","0.017847336432373406","","final primary 10% evaluation"
"5","1","1","23","0.1","12","MRDS","uniform observed subset","0.009118046105685406","0.001578849040802311","final primary 10% evaluation"
"5","1","1","23","0.1","12","W2-k-medoids","uniform observed subset","0.011148975811109435","","final primary 10% evaluation"
"6","1","2","23","0.1","12","Facility Location","uniform observed subset","0.01964654483224398","","final primary 10% evaluation"
"6","1","2","23","0.1","12","MRDS","uniform observed subset","0.01744727541264211","0.002235553154586524","final primary 10% evaluation"
"6","1","2","23","0.1","12","W2-k-medoids","uniform observed subset","0.01634565679167154","","final primary 10% evaluation"
"7","1","3","23","0.1","12","Facility Location","uniform observed subset","0.011401761697195461","","final primary 10% evaluation"
"7","1","3","23","0.1","12","MRDS","uniform observed subset","0.008146010815680282","0.00274678018257728","final primary 10% evaluation"
"7","1","3","23","0.1","12","W2-k-medoids","uniform observed subset","0.01148562494010733","","final primary 10% evaluation"
"8","2","0","37","0.1","12","Facility Location","uniform observed subset","0.010159097411616759","","final primary 10% evaluation"
"8","2","0","37","0.1","12","MRDS","uniform observed subset","0.0032774099465296305","0.0022735359651976936","final primary 10% evaluation"
"8","2","0","37","0.1","12","W2-k-medoids","uniform observed subset","0.005155702451451936","","final primary 10% evaluation"
"9","2","1","37","0.1","12","Facility Location","uniform observed subset","0.018909409360045204","","final primary 10% evaluation"
